"logLi","aic","bic","no.param","time.taken"
-43.4156666878712,96.8313333757423,105.752281545334,1,142.498521089554
-36.1099965952904,92.2199931905808,110.061889529763,2,143.18549489975
-33.5457686415017,97.0915372830034,123.854381791777,3,143.134924173355
-32.4813256247479,104.962651249496,140.646443927861,4,143.758963823318
-32.3433362597174,114.686672519435,159.291413367391,5,143.649962186813
-32.4787471089521,124.957494217904,178.483183235452,6,144.166903018951
-31.7351859516764,153.470371903353,233.758905429675,9,144.458254098892
-35.0762041796363,250.152408359273,410.729475411916,18,145.647467136383
-41.876888110673,1293.75377622135,2373.18850474189,121,295.459238052368
